Date,"Total Enabled Membership","Enabled Full Members","Enabled Guests","Daily active members","Daily members posting messages","Weekly active members","Weekly members posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percent of messages, public channels","Percent of messages, private channels","Percent of messages, DMs","Percent of views, public channels","Percent of views, private channels","Percent of views, DMs","Total Full Members","Total Guests","Total Claimed Full Members","Total Claimed Guests","Total Members","Total Claimed Members","Files uploaded","Messages posted by members",Name,"Public channels, single-workspace","Messages posted","Messages posted by apps"
2018-01-04,0,0,0,3,1,3,1,1,0,0,0,1,0,0,0.4,0,0.6,3,0,3,0,3,3,0,1,0,3,13,0
2018-01-05,0,0,0,8,6,9,6,9,0,0,2,0.8182,0,0.1818,0.8261,0,0.1739,9,0,9,0,9,9,0,11,0,3,37,0
2018-01-06,0,0,0,5,1,11,7,0,0,0,1,0,0,1,0.7,0,0.3,11,0,11,0,11,11,0,1,0,3,9,0
2018-01-07,0,0,0,2,0,11,7,0,0,0,0,0,0,0,1,0,0,12,0,12,0,12,12,0,0,0,3,3,0
2018-01-08,0,0,0,10,6,14,10,5,0,0,16,0.2381,0,0.7619,0.5325,0,0.4675,15,0,15,0,15,15,0,21,0,3,36,0
2018-01-09,0,0,0,13,8,16,13,15,0,0,1,0.9375,0,0.0625,0.9571,0,0.0429,19,0,19,0,19,19,0,16,0,3,34,0
2018-01-10,0,0,0,13,4,20,14,4,0,0,2,0.6667,0,0.3333,0.8511,0,0.1489,22,0,22,0,22,22,0,6,0,3,20,0
2018-01-11,0,0,0,13,8,22,17,43,0,0,6,0.8776,0,0.1224,0.961,0,0.039,24,0,24,0,24,24,0,49,0,5,72,0
2018-01-12,0,0,0,10,2,22,17,8,0,0,2,0.8,0,0.2,0.9535,0,0.0465,24,0,24,0,24,24,0,10,0,6,21,0
2018-01-13,0,0,0,1,0,22,17,0,0,0,0,0,0,0,1,0,0,24,0,24,0,24,24,0,0,0,6,0,0
2018-01-14,0,0,0,0,0,22,17,0,0,0,0,0,0,0,0,0,0,24,0,24,0,24,24,0,0,0,6,0,0
2018-01-15,0,0,0,2,0,20,14,0,0,0,0,0,0,0,1,0,0,24,0,24,0,24,24,0,0,0,6,0,0
2018-01-16,0,0,0,8,1,19,10,3,0,0,0,1,0,0,1,0,0,24,0,24,0,24,24,0,3,0,6,3,0
