website	activeUsers	newUsers	totalUsers	eventCountPerUser	screenPageViewsPerUser	sessions	averageSessionDuration	screenPageViews	engagementRate	total_coursera_enrollments	total_leanpub_enrollees
AI in Software	72	72	72	29.26388888888889	9.069444444444445	248	383.15580847580645	653	0.5564516129032258	72	6
NIH Data Sharing	141	141	141	17.24113475177305	4.929078014184397	300	228.62116852333332	695	0.42333333333333334	NA	NA
ITN Website	5169	5142	5169	8.219384793964016	2.608628361385181	8312	184.3461999533205	13484	0.4527189605389798	NA	NA
Leadership Course	382	383	382	13.75916230366492	3.8403141361256545	735	233.0342418571429	1467	0.5197278911564626	605	32
Documentation and Usability Course	691	691	691	9.992764109985528	2.691751085383502	1019	196.86695292541708	1860	0.5181550539744848	275	25
Computing	575	575	576	19.761739130434783	6.187826086956521	1264	279.5082359588607	3558	0.5189873417721519	893	19
Reproducibility	1248	1233	1251	10.944711538461538	2.9911858974358974	1981	192.3151004179707	3733	0.4507824331145886	347	12
Advanced Reproducibility in Cancer Informatics	297	297	297	14.942760942760943	4.2087542087542085	650	225.80808965230767	1250	0.5123076923076924	255	15
Ethical Data Handling	53	52	54	30.056603773584907	8.924528301886792	198	287.52982734848484	473	0.5050505050505051	NA	NA
OTTR website	730	728	730	4.804109589041096	1.3972602739726028	967	66.89664502998966	1020	0.30610134436401243	NA	NA
Choosing Genomic Tools	76	75	76	21.289473684210527	6.118421052631579	201	250.54723782587067	465	0.5671641791044776	NA	11
Overleaf Intro	16	16	16	30.875	10.375	47	487.95832453191485	166	0.5957446808510638	NA	NA
GitHub Automation for Scientists	2	2	2	23.5	6.5	5	122.7410946	13	0.8	NA	NA
